id,usermail,fingerprint_date,organization
1,1@admin.com,1/1/2015,1
2,1@admin.com,1/1/2015,1
3,1@admin.com,1/1/2015,1
4,1@admin.com,1/1/2015,1
5,1@admin.com,1/1/2015,1
6,1@admin.com,1/1/2015,1
7,1@admin.com,1/1/2015,1
8,1@admin.com,1/1/2015,1
9,1@admin.com,1/1/2015,1
10,1@admin.com,1/1/2015,1
11,1@admin.com,1/1/2015,1
12,1@admin.com,1/1/2015,1
13,1@admin.com,1/1/2015,1
14,1@admin.com,1/1/2015,1
15,1@admin.com,1/1/2015,1
16,1@admin.com,1/1/2015,1
17,1@admin.com,1/1/2015,1
18,1@admin.com,1/1/2015,1
19,1@admin.com,1/1/2015,1
20,1@admin.com,1/1/2015,1
21,1@admin.com,1/1/2015,1
22,1@admin.com,1/1/2015,1
23,1@admin.com,1/1/2015,1
24,1@admin.com,1/1/2015,1
25,2@admin.com,1/1/2015,1
26,2@admin.com,1/1/2015,1
27,2@admin.com,1/1/2015,1
28,2@admin.com,1/1/2015,1
29,2@admin.com,1/1/2015,1
30,2@admin.com,1/1/2015,1
31,2@admin.com,1/1/2015,1
32,2@admin.com,1/1/2015,1
33,2@admin.com,1/1/2015,1
34,2@admin.com,1/1/2015,1
35,2@admin.com,1/1/2015,1
36,2@admin.com,1/1/2015,1
37,2@admin.com,1/1/2015,1
38,2@admin.com,1/1/2015,1
39,2@admin.com,1/1/2015,1
40,2@admin.com,1/1/2015,1
41,2@admin.com,1/1/2015,1
42,2@admin.com,1/1/2015,1
43,2@admin.com,1/1/2015,1
44,2@admin.com,1/1/2015,1
45,2@admin.com,1/1/2015,1
46,2@admin.com,1/1/2015,1
47,2@admin.com,1/1/2015,1
48,2@admin.com,1/1/2015,1
49,2@admin.com,1/1/2015,1
50,3@admin.com,1/1/2015,1
51,3@admin.com,1/1/2015,1
52,3@admin.com,1/1/2015,1
53,3@admin.com,1/1/2015,1
54,3@admin.com,1/1/2015,1
55,3@admin.com,1/1/2015,1
56,3@admin.com,1/1/2015,1
57,3@admin.com,1/1/2015,1
58,3@admin.com,1/1/2015,1
59,3@admin.com,1/1/2015,1
60,3@admin.com,1/1/2015,1
61,3@admin.com,1/1/2015,1
62,3@admin.com,1/1/2015,1
63,3@admin.com,1/1/2015,1
64,3@admin.com,1/1/2015,1
65,3@admin.com,1/1/2015,1
66,3@admin.com,1/1/2015,1
67,3@admin.com,1/1/2015,1
68,3@admin.com,1/1/2015,1
69,3@admin.com,1/1/2015,1
70,3@admin.com,1/1/2015,1
71,3@admin.com,1/1/2015,1
72,3@admin.com,1/1/2015,1
73,3@admin.com,1/1/2015,1
74,3@admin.com,1/1/2015,1
75,4@admin.com,1/1/2015,1
76,4@admin.com,1/1/2015,1
77,4@admin.com,1/1/2015,1
78,4@admin.com,1/1/2015,1
79,4@admin.com,1/1/2015,1
80,4@admin.com,1/1/2015,1
81,4@admin.com,1/1/2015,1
